"pwsid","detection_share"
"PA2450023",NA
"PA2450034",NA
"PA2450051",NA
"PA2450065",NA
"PA2450096",NA
"PA2450115",NA
"PA2450124",NA
"PA2450133",NA
"PA2450134",NA
"PA2450140",NA
"PA2450316",NA
"PA2450426",NA
"PA2450451",NA
"PA2450550",NA
"PA2450666",NA
"PA2450705",NA
"PA2451006",NA
"PA1090024",NA
"PA1090040",NA
"PA1090043",NA
"PA1090046",NA
"PA1090057",NA
"PA1090058",NA
"PA1090062",NA
"PA1090064",NA
"PA1090078",NA
"PA1090079",NA
"PA1090081",NA
"PA1090082",NA
"PA1090089",NA
"PA1090125",NA
"PA1090127",NA
"PA1090134",NA
"PA1090801",NA
"PA1090862",NA
"PA1090900",NA
"PA1090962",NA
"PA1090981",NA
"PA1091137",NA
"PA1091262",NA
"PA1091390",NA
"PA1150030",NA
"PA1150035",NA
"PA1150044",NA
"PA1150045",NA
"PA1150077",NA
"PA1150094",NA
"PA1150098",NA
"PA1090022",NA
"PA1150166",NA
"PA1150191",NA
"PA1150220",NA
"PA1150465",NA
"PA1150467",NA
"PA1150495",NA
"PA1150616",NA
"PA1150649",NA
"PA1150663",NA
"PA1150701",NA
"PA1150733",NA
"PA1150818",NA
"PA1150887",NA
"PA1230852",NA
"PA1460036",NA
"PA1460042",NA
"PA1460045",NA
"PA1460046",NA
"PA1460048",NA
"PA7360075",NA
"PA7360078",NA
"PA7360091",NA
"PA7360118",NA
"PA7360121",NA
"PA7360124",NA
"PA7360128",NA
"PA7360170",NA
"PA7360176",NA
"PA7360186",NA
"PA7360320",NA
"PA7360345",NA
"PA7360462",NA
"PA7360476",NA
"PA1460050",NA
"PA1460055",NA
"PA1460059",NA
"PA1460073",NA
"PA1460085",NA
"PA1460310",NA
"PA1460340",NA
"PA1460346",NA
"PA1460360",NA
"PA1460362",NA
"PA1460458",NA
"PA3060130",NA
"PA3060132",NA
"PA3060336",NA
"PA3060337",NA
"PA3060364",NA
"PA3060385",NA
"PA3060452",NA
"PA3060502",NA
"PA3060536",NA
"PA3060596",NA
"PA3060629",NA
"PA3060681",NA
"PA3060703",NA
"PA3060815",NA
"PA3060836",NA
"PA3060884",NA
"PA3060943",NA
"PA3060984",NA
"PA3060988",NA
"PA3060989",NA
"PA3060996",NA
"PA3061073",NA
"PA3061096",NA
"PA3061120",NA
"PA3061131",NA
"PA3130009",NA
"PA3130011",NA
"PA3130012",NA
"PA3130015",NA
"PA3130043",NA
"PA3130044",NA
"PA3130051",NA
"PA3130308",NA
"PA3130816",NA
"PA3130947",NA
"PA3390065",NA
"PA3390073",NA
"PA3390076",NA
"PA3390077",NA
"PA3390089",NA
"PA3390111",NA
"PA3390543",NA
"PA3390933",NA
"PA3390945",NA
"PA3390947",NA
"PA3390954",NA
"PA3390976",NA
"PA3480044",NA
"PA3480050",NA
"PA3480059",NA
"PA3480082",NA
"PA3480336",NA
"PA3480346",NA
"PA3480375",NA
"PA3480926",NA
"PA3540367",NA
"PA2451058",NA
"PA2451059",NA
"PA2451221",NA
"PA2451270",NA
"PA2451343",NA
"PA2520054",NA
"PA2520073",NA
"PA2520100",NA
"PA2520301",NA
"PA2520357",NA
"PA2520371",NA
"PA2520435",NA
