pwsid,arsenic
AK2220462,.00086666667
AK2220465,.0027263334
AK2220469,0
AK2220470,0
AK2220472,.006755
AK2220473,.034450002
AK2220474,0
AK2220477 ,0
AK2220481,0
AK2220482,0
AK2220484,.00155
AK2220723,.0015166666
AK2220723 ,0
AK2221012,0
AK2221012 ,0
AK2221208,0
AK2221208 ,0
AK2221410,0
AK2221410 ,0
AK2221834,.0028171428
AK2221834 ,0
AK2222343 ,0
AK2222806,.0018500001
AK2222848,0
AK2222848 ,0
AK2222880 ,0
AK2222987 ,0
AK2223023,0
AK2223023 ,0
AK2223145,0
AK2223145 ,0
AK2223179,0
AK2223179 ,0
AK2223315,.0086141536
AK2223315 ,0
AK2223616,0
AK2223616 ,0
AK2223624,.021263333
AK2223624 ,0
AK2223658,.0070179999
AK2223658 ,0
AK2223844 ,0
AK2223983,0
AK2223983 ,0
AK2224028,0
AK2224028 ,0
AK2224036,0
AK2224036 ,0
AK2224078,.000112
AK2224078 ,0
AK2224109,.0069650002
AK2224109 ,0
AK2224117,.0054950002
AK2224117 ,0
AK2224159,0
AK2224159 ,0
AK2224167,0
AK2224167 ,0
AK2224183 ,0
AK2224214,0
AK2224214 ,0
AK2224256,0
AK2224256 ,0
AK2224272,0
AK2224272 ,0
AK2224329,0
AK2224329 ,0
AK2224337,.014576296
AK2224337 ,0
AK2224345,0
AK2224345 ,0
AK2224476,.008762069
AK2224476 ,0
AK2224557,.0028000001
AK2224557 ,0
AK2224573 ,0
AK2224581,.0047064284
AK2224581 ,0
AK2224604,0
AK2224604 ,0
AK2224646,.0065950979
AK2224646 ,0
AK2224806,.000068333335
AK2224806 ,0
AK2224882,.00048308537
AK2224882 ,0
AK2225032,.0069293333
AK2225032 ,0
AK2225058,.0044771428
AK2225058 ,0
AK2225165,.00069999998
AK2225165 ,0
AK2225219 ,0
AK2225281,.00015399999
AK2225281 ,0
AK2225313 ,0
AK2225361,0
AK2225361 ,0
AK2225488 ,0
AK2225511,.006242
AK2225511 ,0
AK2225593 ,0
AK2225601 ,0
AK2225683,.0062250001
AK2225683 ,0
AK2225713,0
AK2225713 ,0
AK2225753,0
AK2225773,0
AK2225773 ,0
AK2225819,0
AK2225819 ,0
AK2225835 ,0
AK2225967,0
AK2225967 ,0
AK2225968,.00040000002
AK2225968 ,0
AK2225975,.00040000002
AK2225975 ,0
AK2225977,.005785
AK2225977 ,0
AK2225988 ,0
AK2225989,0
AK2225989 ,0
AK2225995,0
AK2225995 ,0
AK2226014,0
AK2226014 ,0
AK2226017,0
AK2226017 ,0
AK2226020,0
AK2226020 ,0
AK2226021,0
AK2226021 ,0
AK2226033 ,0
AK2226035,0
AK2226035 ,0
AK2226039,0
AK2226039 ,0
AK2226047,0
AK2226049,.010941001
AK2226240 ,0
AK2226410,.00028533334
AK2226410 ,0
AK2226428,.00029166669
AK2226428 ,0
AK2226452,0
AK2226452 ,0
AK2226460,0
AK2226460 ,0
AK2226509,0
AK2226509 ,0
AK2226567,0
AK2226567 ,0
AK2226656 ,0
AK2226826 ,0
AK2226884,0
AK2226884 ,0
AK2227092,.00022
AK2227092 ,0
AK2227149,0
AK2227149 ,0
AK2227199,.00088000001
AK2227199 ,0
AK2227204,.0027425
AK2227204 ,0
AK2227212,0
AK2227212 ,0
AK2227220,.00013925
AK2227220 ,0
AK2227254,.00168
AK2227254 ,0
AK2227301,.0072166664
AK2227301 ,0
AK2227327,0
AK2227327 ,0
AK2227474,.00136
AK2227474 ,0
AK2227539,0
AK2227539 ,0
AK2227547,0
AK2227547 ,0
AK2227734,0
AK2227734 ,0
AK2240448,.013917143
AK2240448 ,0
AK2240456,.00022099999
AK2240456 ,0
AK2240464 ,0
AK2240472,.00029016667
AK2240472 ,0
AK2240498 ,0
AK2240503,.0077900002
AK2240503 ,0
AK2240553 ,0
AK2240618,.0020297754
AK2240618 ,0
AK2240707,0
AK2240707 ,0
AK2240757,0
AK2240757 ,0
AK2240773,0
AK2240773 ,0
AK2240969,.013207143
AK2240969 ,0
AK2241012,.014537037
AK2241012 ,0
AK2241020,.00024374999
AK2241020 ,0
AK2241054,.0039653848
AK2241054 ,0
AK2241062,.000067333334
AK2241062 ,0
AK2241088,.0085466672
AK2241088 ,0
AK2241101,.00062100001
AK2241101 ,0
AK2241648 ,0
AK2241745,.0054100002
AK2241745 ,0
AK2242610 ,0
AK2242783 ,0
AK2242929,.0022975001
AK2242929 ,0
AK2243006,0
AK2243006 ,0
AK2243064,.00030866667
AK2243064 ,0
AK2243103,0
AK2243103 ,0
AK2243137,0
AK2243137 ,0
AK2243624 ,0
AK2243658,.027692592
AK2243658 ,0
AK2243771,0
AK2243771 ,0
AK2244125,.0010597423
AK2244125 ,0
AK2244159,0
AK2244159 ,0
AK2244222,0
AK2244329,.0083733331
AK2244329 ,0
AK2244395 ,0
AK2244484,.0027645
AK2244484 ,0
AK2244719,0
AK2244719 ,0
AK2244955,0
AK2244955 ,0
AK2244997,.0086000003
AK2244997 ,0
AK2245058 ,0
AK2245090 ,0
AK2245325,0
AK2245325 ,0
AK2247490,0
AK2247490 ,0
AK2247953,.0033549999
AK2247953 ,0
AK2248420 ,0
AK2248690,.034600001
AK2248690 ,0
AK2248878,0
AK2248878 ,0
AK2249011,.0023256869
AK2249011 ,0
AK2249028,0
AK2249028 ,0
AK2249042,0
AK2249042 ,0
AK2249099,.0095924139
AK2249099 ,0
AK2249137 ,0
AK2249177,.00052499998
AK2249245,0
AK2249434,.0072975
AK2249434 ,0
AK2249966,0
AK2249966 ,0
AK2250011,.00018800001
AK2250011 ,0
AK2250037 ,0
AK2250045 ,0
AK2250053 ,0
AK2250061,0
AK2250061 ,0
AK2250087,0
AK2250087 ,0
AK2250126,0
AK2250126 ,0
AK2250134,0
AK2250134 ,0
AK2250427 ,0
AK2260032 ,0
AK2260040,0
AK2260040 ,0
AK2260058,.000382
AK2260058 ,0
AK2260066,.0087250005
AK2260066 ,0
AK2260074,0
AK2260074 ,0
AK2260090,.00050700002
AK2260090 ,0
AK2260139 ,0
AK2260163,.000205
AK2260163 ,0
AK2260171 ,0
AK2260197,.0011
AK2260197 ,0
AK2260202,.00043799999
AK2260228 ,0
AK2260244 ,0
AK2260252 ,0
AK2260260,.0061616427
AK2260260 ,0
AK2260286,.00185
AK2260286 ,0
AK2260294,0
AK2260294 ,0
AK2260309,.00083583337
AK2260309 ,0
AK2260325,.0078961337
AK2260325 ,0
AK2260333 ,0
AK2260359,.00034100001
AK2260359 ,0
AK2260367,0
AK2260367 ,0
AK2260414,.00094
AK2260414 ,0
AK2260422 ,0
AK2260464,.00154
AK2260464 ,0
AK2260503,.00040250001
AK2260503 ,0
AK2260511,0
AK2260511 ,0
AK2260595 ,0
AK2260634,.008167143
AK2260634 ,0
AK2260676,.0066972002
AK2260804 ,0
AK2260812,.044966668
AK2260812 ,0
AK2260820 ,0
AK2261096 ,0
AK2261101 ,0
AK2261185,.0074300002
AK2261185 ,0
AK2261193,0
AK2261193 ,0
AK2261282 ,0
AK2261371 ,0
AK2261444 ,0
AK2261460,0
AK2261575,0
AK2262199,.001
AK2262199 ,0
AK2262238,.0021500001
AK2262238 ,0
AK2262246,0
AK2262246 ,0
AK2262319,.0048391665
AK2262319 ,0
AK2262351,0
AK2262351 ,0
AK2262505 ,0
AK2262902,0
AK2262902 ,0
AK2263006,.000058333331
AK2263006 ,0
AK2263010 ,0
AK2263014 ,0
AK2263018,0
AK2263039,.000084500003
AK2263039 ,0
AK2263045,.00024350001
AK2263045 ,0
AK2270150,.0015359167
AK2270168,.00029299999
AK2270168 ,0
AK2270176,0
AK2270176 ,0
AK2270184,0
AK2270184 ,0
AK2270207 ,0
AK2270215 ,0
AK2270223,0
AK2270223 ,0
AK2270257,0
AK2270257 ,0
AK2270273,.000080999998
AK2270273 ,0
AK2270281 ,0
AK2270299 ,0
AK2270312,.00361
AK2270312 ,0
AK2270320 ,0
AK2270338,.00099500001
AK2270338 ,0
AK2270346,0
AK2270346 ,0
AK2270362,0
AK2270362 ,0
AK2270427,.0028899999
AK2270427 ,0
AK2270469,0
AK2270469 ,0
AK2270493 ,0
AK2270613 ,0
AK2270621 ,0
AK2270697 ,0
AK2270728,0
AK2270728 ,0
