"","PWSID","Maximum_sample_exceedence","Units","total_violations","SAMPLING_END_DATE"
"9870","NC0431485",2.9,"mg/L",2,"12/31/2004"
"9871","AR0000248",2,"mg/L",4,"12/31/2003"
"9872","NY1500282",0.037,"mg/L",5,"06/30/2002"
"9873","PA4560823",0.018,"mg/L",1,"12/31/1993"
"9874","PA4600004",0.017,"mg/L",1,"12/31/1994"
"9875","PA5020003",0.029,"mg/L",1,"06/30/1994"
"9876","MO3031297",0.0389,"mg/L",8,"12/31/2007"
"9877","MO6272640",0.0239,"mg/L",1,"06/30/2006"
"9878","PA4310301",0.0161,"mg/L",1,"12/31/1993"
"9879","PA4310852",0.017,"mg/L",1,"06/30/1994"
"9880","PA4340002",0.0505,"mg/L",1,"06/30/1994"
"9881","NJ0818458",0.0175,"mg/L",1,"12/31/1995"
"9882","FL3490293",0.0225,"mg/L",1,"12/01/2007"
"9883","PA5020822",0.02,"mg/L",2,"06/30/1994"
"9884","PA5020924",0.018,"mg/L",1,"12/31/1993"
"9885","PA5030006",0.02,"mg/L",1,"12/31/1992"
"9886","PA1150098",0.023,"mg/L",1,"12/31/1992"
"9887","PA1150106",0.018,"mg/L",1,"12/31/1992"
"9888","PA1150134",0.076,"mg/L",1,"12/31/1993"
"9889","PA1150155",0.018,"mg/L",1,"12/31/1993"
"9890","DE0003265",0.0189,"mg/L",1,"12/31/1993"
"9891","PA2590041",0.024,"mg/L",1,"12/31/1993"
"9892","PA2590315",0.037,"mg/L",1,"12/31/1993"
"9893","PA2590812",0.038,"mg/L",3,"12/31/1993"
"9894","PA2640003",0.0275,"mg/L",1,"12/31/1993"
"9895","PA2640012",0.028,"mg/L",1,"12/31/1993"
"9896","PA2640016",0.154,"mg/L",1,"12/31/1993"
