"","PWSID","VIOLATION_CATEGORY_CODE","VIOLATION_STATUS","diff_days","total_violations"
"22007","OH7448512","MCL","Resolved",91,3
"22008","OH7600312","TT","Unaddressed",1648,7
"22009","OK1021703","TT","Resolved",30,8
"22010","OK2002215","MCL","Resolved",91,3
"22011","OK2005509","MCL","Resolved",30,4
"22012","OR4101515","TT","Resolved",30,4
"22013","OR4194161","TT","Unaddressed",241,1
"22014","OR4195499","TT","Resolved",2440,2
"22015","OR4195532","MCL","Resolved",91,2
"22016","PA2400036","TT","Resolved",27,3
"22017","PA2450334","TT","Resolved",1643,4
"22018","PA2450418","TT","Resolved",2428,16
"22019","PA2450423","TT","Resolved",1718,2
"22020","PA2450595","TT","Unaddressed",1017,6
"22021","PA2450899","TT","Unaddressed",670,2
"22022","PA2451029","TT","Resolved",1738,17
"22023","PA2451222","TT","Resolved",1728,8
"22024","PA2580337","TT","Resolved",1390,7
"22025","PA2590045","TT","Resolved",27,1
"22026","PA2640054","TT","Unaddressed",882,61
"22027","PA2640822","MCL","Resolved",91,14
"22028","PA3130364","MCL","Resolved",30,5
"22029","PA3130944","TT","Resolved",1769,8
"22030","PA3480446","MCL","Resolved",91,4
"22031","PA4050020","TT","Resolved",30,6
"22032","PA4190361","TT","Resolved",827,8
"22033","PA4410953","TT","Resolved",1399,7
"22034","PA6250802","TT","Resolved",30,11
"22035","PA6330817","TT","Resolved",2258,7
"22036","PA6620005","TT","Resolved",30,4
"22037","PA7221013","TT","Resolved",455,2
"22038","PA7360438","TT","Resolved",2234,15
"22039","PA7670327","TT","Resolved",691,4
"22040","PR0003122","TT","Addressed",2469,3
"22041","PR0003142","TT","Addressed",2469,1
"22042","PR0302063","TT","Resolved",2288,4
"22043","SD4602159","TT","Resolved",3078,2
"22044","TX0790158","TT","Resolved",2775,15
"22045","TX1440014","TT","Resolved",1589,19
"22046","TX1740002","TT","Unaddressed",415,3
"22047","TX1800001","MCL","Resolved",29,4
"22048","TX1830002","TT","Resolved",916,6
"22049","TX1830017","MCL","Resolved",90,8
"22050","UTAH09043","TT","Resolved",1922,3
"22051","UTAH29119","TT","Resolved",2729,6
"22052","VA1169415","MCL","Archived",91,3
"22053","VA2139040","TT","Resolved",1752,8
"22054","VA4159750","MCL","Resolved",27,4
"22055","VA6061318","MCL","Resolved",364,4
"22056","VA6061555","MCL","Resolved",90,3
"22057","VI1000219","MCL","Resolved",29,3
"22058","VT0005289","MCL","Resolved",29,6
"22059","VT0021098","TT","Resolved",1121,4
"22060","VT0021167","MCL","Resolved",29,6
"22061","WA5367900","TT","Resolved",2197,1
"22062","WA53SP680","MCL","Resolved",29,1
"22063","WI1110123","MCL","Resolved",30,5
"22064","WI2670312","TT","Resolved",1467,4
"22065","WI4450523","TT","Resolved",602,14
"22066","WI6270144","MCL","Resolved",30,5
"22067","WI7370244","MCL","Resolved",30,5
"22068","WV9910109","TT","Resolved",2775,4
"22069","WV9939020","TT","Resolved",1554,4
"22070","WY5601245","MCL","Resolved",29,2
"22071","WY5601326","TT","Resolved",1388,4
"22072","090605077","TT","Unaddressed",1010,3
"22073","WY5601731","TT","Unaddressed",371,1
"22074","MI0002760","TT","Unaddressed",180,1
"22075","083090064","TT","Unaddressed",1648,1
"22076","LA2103513","TT","Unaddressed",2662,11
"22077","IL2010100","TT","Unaddressed",128,1
