pwsid,total_samples,detection_share,concentration_avg,concentration_max,pfas_count
MA2097000,178,.22471911,3.660838302224874,11.01999998092651,5
MA2101000,1066,.56191367,16.55647968314588,75.41999995708466,9
MA2101001,45,.31111112,10.57175008952618,21.65299999713898,7
MA2103000,402,.21641791,4.224643457680941,13.28299993276596,8
MA2103003,18,0,0,0,0
MA2110000,708,.54661018,15.51947300508618,40.71999967098236,9
MA2110001,213,.52582157,10.89931559562683,42.44300007820129,11
MA2110002,126,.33333334,84.55557250976563,113.2259990572929,8
MA2110003,72,.1388889,2.011749982833862,2.717000007629395,3
MA2110004,90,.2,5.16360005736351,7.302000045776367,5
MA2110006,72,.22222222,6.017249822616577,6.649999856948853,4
MA2115000,165,.36969697,6.559195190668106,15.08399999141693,7
MA2115001,121,.18181819,2.702799946069717,7.24699991941452,5
MA2115002,75,.60000002,34.91420800983906,95.71200054883957,8
MA2115009,72,.18055555,3.896749928593636,5.074999868869781,4
MA2115010,175,.38285714,154.4338209405541,535.9300000667572,7
MA2125000,236,.48305085,13.67855000495911,21.32999932765961,6
MA2125001,18,0,0,0,0
MA2125002,23,.2173913,.621833324432373,.9389999806880951,2
MA2125003,18,0,0,0,0
MA2125005,54,.11111111,5.16733318567276,5.779999852180481,2
MA2125006,25,.28,2.071999996900558,4.080000102519989,3
MA2125007,273,.42490843,49.51657584309578,67.88900077342987,8
MA2125010,18,.055555556,.3400000035762787,.3400000035762787,1
MA2125011,73,.02739726,.2331999987363815,.9839999973773956,2
MA2125012,106,.33018869,9.75190456956625,14.08499985933304,8
MA2125013,51,.05882353,.4985000193119049,.7260000109672546,1
MA2125014,302,.28145695,12.86733397841454,23.39499980211258,5
MA2125015,18,0,0,0,0
MA2125016,52,.03846154,.3375000059604645,1.350000023841858,2
MA2125020,68,0,0,0,0
MA2125021,407,.55282557,44.04474698379636,134.7699988484383,9
MA2125022,23,.26086956,5.946499913930893,6.735999882221222,4
MA2125023,19,.052631579,.3179999887943268,.6359999775886536,1
MA2125024,18,0,0,0,0
MA2125025,90,0,0,0,0
MA2125026,75,.06666667,.6522500067949295,1.590000033378601,2
MA2125027,19,.052631579,.3300000131130219,.6600000262260437,1
MA2134000,641,.2652106,14.10302047431469,130.9200006127357,9
MA2136000,515,.45631069,13.59916909039021,33.60000014305115,7
MA2138000,191,.61780107,19.77405318617821,50.66000056266785,7
MA2139000,744,.64381719,28.58805337920785,96.04999923706055,8
MA2139001,74,.45945945,76.96133399009705,155.3999998569489,7
MA2139002,83,.13253012,2.524857118725777,7.580999851226807,5
MA2139003,194,.26804122,38.96408402919769,255.3700003623962,7
MA2139004,36,.33333334,9.888500094413757,10.44500011205673,6
MA2139006,96,.35416666,11.06316664814949,12.53899985551834,6
MA2139007,96,.29166666,14.40133321285248,34.89000010490417,6
MA2139008,216,.3611111,29.30208370089531,36.3439998626709,7
MA2139010,86,.19767442,3.50592502951622,10.31400001049042,5
MA2139011,36,.027777778,.3555000126361847,.7110000252723694,1
MA2140004,79,.2658228,5.814199984073639,8.685999870300293,6
MA2140005,18,0,0,0,0
MA2140010,60,.30000001,15.18425023555756,22.48999989032745,6
MA2140011,36,0,0,0,0
MA2140013,36,0,0,0,0
MA2140014,18,.33333334,16.62000024318695,16.62000024318695,6
MA2140015,70,0,0,0,0
MA2140016,36,0,0,0,0
MA2140017,36,.11111111,7.830999851226807,15.66199970245361,4
MA2140018,18,.33333334,16.46999979019165,16.46999979019165,6
MA2141000,1845,.52411926,53.66070311143994,783.2299998998642,9
MA2147000,224,.33482143,6.74993509054184,11.38799977302551,6
MA2147002,18,0,0,0,0
MA2147005,72,.19444445,9.102499783039093,13.03699994087219,5
MA2147006,94,.08510638,14.55971428751945,99.57000017166138,8
MA2147007,54,0,0,0,0
MA2147008,36,0,0,0,0
MA2147009,54,0,0,0,0
MA2147010,18,0,0,0,0
MA2147011,38,.052631579,.9233333170413971,2.769999980926514,2
MA2147012,18,0,0,0,0
