pwsid,haa5,tthm,tthm_alt,haa5_alt,combined_dbp
AK2110562,,1.8,1.8,,1.8
AK2110619,20.988333,7.4000001,12.433809,12.528,28.388332
AK2111457,,2.53,2.53,,2.53
AK2111561,21.799999,6.6857142,3.2,,28.485714
AK2111566,28.200001,19.299999,5,5.6666665,47.5
AK2113560,2.55,1.615,1.615,,4.165
AK2119205,51.666668,51,1.1849999,54,102.66667
AK2120012,297,117.05,76.155998,335.58334,414.04999
AK2120127,159.36,132.56667,34.758335,86.866669,291.92667
AK2120143,128,30.266666,29.879999,60.840004,158.26666
AK2120169,26.57,49.093334,58.427776,26.57,75.66333
AK2120193,46,74.558334,68.158333,39.854164,120.55833
AK2120216,145.16667,155.46666,196.95227,148.95,300.63333
AK2120224,120,97.699997,80.446663,98.800003,217.7
AK2120232,77.353333,49.553844,46.553333,72.034607,126.90718
AK2120436,10.6,72,55.657333,10.766666,82.599998
AK2120541,403.5,,,,403.5
AK2120575,7.0999999,15,13.53,,22.1
AK2120606,31.5,54.016251,88.274666,90.160004,85.516251
AK2121076,30.280001,14.84,22.681667,23.435001,45.120003
AK2121406,1.91,.68000001,.68000001,1.91,2.5899999
AK2121409,,3.5350001,3.5350001,,3.5350001
AK2121479,,42.220001,42.220001,,42.220001
AK2121485,,6.9133329,6.9133329,,6.9133329
AK2121502,12,15.9,,,27.9
AK2121510,75.459999,30.975,43.977501,73.400002,106.435
AK2121514,56.700001,,,,56.700001
AK2130017,106.8,72,58.955002,67.683334,178.8
AK2130067,21.216667,19.383333,23.206249,21.897499,40.599998
AK2130075,22.5375,16.190001,18.14875,23.922726,38.727501
AK2130083,90.833336,66.125,65.581429,76.770004,156.95834
AK2130122,8.9200001,6.3000002,6.3000002,7.5999999,15.22
AK2130148,35.299999,37.810001,28.45875,26.165026,73.110001
AK2130156,92.199997,37.18,56.728333,96.666672,129.38
AK2130172,0,2.5700002,2.5700002,,2.5700002
AK2130198,76.099998,79.625,12.666,83.085831,155.72501
AK2130596,18.115,5.8600001,.69999999,18.115,23.975
AK2210401,,1,1,,1
AK2210419,0,,,,0
AK2210435,0,,,,0
AK2210451,16,9.79,9.79,7.96,25.790001
AK2210906,4.9379449,5.9762068,5.3966074,4.9379449,10.914152
AK2211075,0,,,,0
AK2211114,,1.8,,,1.8
AK2211229,23,6.1599998,.74000001,.55000001,29.16
AK2211423,13.18,20.883333,13.92,14.161,34.063332
