pwsid,total_samples,total_samples_2020,detection_share,detection_share_2020,pfoa_and_pfos,pfoa_and_pfos_2020,concentration_avg,concentration_avg_2020,concentration_max,concentration_max_2020,pfas_count,pfas_count_2020
AL0000553,135,117,.06666667,.07692308,3.6600001,5.2285714,9.396666824817657,13.25000011920929,44.29999995231628,44.29999995231628,4,4
AL0000555,170,170,0,0,0,0,0,0,0,0,0,0
AL0000561,4,4,0,0,,,0,0,0,0,0,0
AL0000570,58,58,0,0,0,0,0,0,0,0,0,0
AL0000572,116,116,0,0,0,0,0,0,0,0,0,0
AL0000575,29,29,0,0,0,0,0,0,0,0,0,0
AL0000577,123,99,.35772356,.33333334,49.788887,37.619999,186.6344423145056,207.7833326160908,358.7999888658524,304.0999871492386,10,10
AL0000578,1,1,1,1,1.9,1.9,1.899999976158142,1.899999976158142,1.899999976158142,1.899999976158142,1,1
AL0000580,4,4,0,0,,,0,0,0,0,0,0
AL0000581,58,58,0,0,0,0,0,0,0,0,0,0
AL0000588,24,0,.375,,45,0,80,0,220,0,4,0
AL0000591,28,0,.32142857,,38,0,46,0,110,0,3,0
AL0000594,120,120,0,0,0,0,0,0,0,0,0,0
AL0000597,116,116,0,0,0,0,0,0,0,0,0,0
AL0000610,111,87,0,0,0,0,0,0,0,0,0,0
AL0000624,58,58,0,0,0,0,0,0,0,0,0,0
AL0000629,58,58,0,0,0,0,0,0,0,0,0,0
AL0000651,1,1,1,1,,,4.199999809265137,4.199999809265137,4.199999809265137,4.199999809265137,1,1
AL0000657,4,4,0,0,,,0,0,0,0,0,0
AL0000664,12,0,0,,0,0,0,0,0,0,0,0
AL0000677,58,58,0,0,0,0,0,0,0,0,0,0
AL0000681,145,121,.034482758,.041322313,.30000001,.54000002,2.888888947665691,3.280000060796738,16.40000009536743,16.40000009536743,5,5
AL0000702,112,112,0,0,0,0,0,0,0,0,0,0
AL0000713,117,117,.042735044,.042735044,.5,.5,2.850000113248825,2.850000113248825,9.5,9.5,4,4
AL0000728,27,3,.11111111,1,0,0,3.400000095367432,5.400000095367432,5.5,5.5,2,2
AL0000729,201,177,.039800994,.04519774,0,0,5.858974099159241,6.344444155693054,14.40000009536743,14.40000009536743,2,2
AL0000732,1,1,1,1,4.6999998,4.6999998,4.699999809265137,4.699999809265137,4.699999809265137,4.699999809265137,1,1
AL0000737,24,0,0,,0,0,0,0,0,0,0,0
AL0000738,24,0,0,,0,0,0,0,0,0,0,0
AL0000751,67,67,.17910448,.17910448,22.120001,22.120001,31.77000093460083,31.77000093460083,89.10000228881836,89.10000228881836,6,6
AL0000753,26,14,.53846157,1,2.3742857,3.5,3.799285769462585,5.850000143051147,10.30000019073486,10.30000019073486,4,4
AL0000755,24,0,0,,0,0,0,0,0,0,0,0
AL0000761,16,4,.25,1,1.1666666,3.5,3.833333253860474,10.19999980926514,10.39999985694885,10.39999985694885,3,3
AL0000763,107,83,0,0,0,0,0,0,0,0,0,0
AL0000769,12,0,0,,0,0,0,0,0,0,0,0
AL0000783,104,77,.21153846,.24675325,17.333332,13.916666,26.62047588825226,25.76666629314423,107.8000011444092,59.80000114440918,7,7
AL0000789,17,17,1,1,11.766666,11.766666,38.7266674041748,38.7266674041748,75,75,6,6
AL0000794,24,0,0,,0,0,0,0,0,0,0,0
AL0000798,3,3,1,1,5.5,5.5,9.599999904632568,9.599999904632568,9.699999809265137,9.699999809265137,2,2
AL0000801,29,0,.1724138,,41.666668,0,43.66666698455811,0,150,0,3,0
AL0000804,42,18,.42857143,1,5.9285717,13.833333,13.54285728931427,27.06666684150696,30.19999980926514,30.19999980926514,6,6
AL0000814,48,24,.5,1,5.7125001,11.425,14.25000011920929,24.67500019073486,27.60000014305115,27.60000014305115,6,6
AL0000816,223,199,.085201792,.095477387,5.2166662,7.6972222,10.35952353477478,12.84007930755615,30.19999933242798,30.19999933242798,4,4
AL0000817,1,1,1,1,11.1,11.1,11.10000038146973,11.10000038146973,11.10000038146973,11.10000038146973,1,1
AL0000818,1,1,1,1,,,3.400000095367432,3.400000095367432,3.400000095367432,3.400000095367432,1,1
AL0000819,1,1,1,1,,,1.899999976158142,1.899999976158142,1.899999976158142,1.899999976158142,1,1
AL0000820,66,42,.27272728,.42857143,4.3499999,8.6999998,15.99999988079071,22.19999980926514,27.70000028610229,27.70000028610229,5,5
AL0000821,1,1,1,1,,,1.799999952316284,1.799999952316284,1.799999952316284,1.799999952316284,1,1
AL0000822,1,1,1,1,4.9000001,4.9000001,4.900000095367432,4.900000095367432,4.900000095367432,4.900000095367432,1,1
