pwsid,haa5,haa5_syr3,haa5_syr4,tthm,tthm_syr3,tthm_syr4,combined_dbp,combined_dbp_syr3,combined_dbp_syr4
MO1024191,0,0,7.1399999,0,0,0,0,0,7.1399999
MO1024223,32.299999,0,32.299999,69.73333,0,69.73333,102.03333,0,102.03333
MO1024241,55.25,61.711113,35.866665,97,97,63.239166,152.25,158.71112,99.105835
MO1024242,28.775,42.881332,28.775,54.133335,58.66,31.5,82.908333,101.54134,60.275002
MO1024247,36.728573,32.585712,40.871429,52.494999,45.783333,62.5625,89.223572,78.369049,103.43393
MO1024275,6.04,0,6.04,5.6833334,0,5.6833334,11.723333,0,11.723333
MO1024276,5.4250002,0,5.4250002,10.083333,0,10.083333,15.508333,0,15.508333
MO1024278,0,0,8.6866665,6.2199998,0,6.2199998,6.2199998,0,14.906666
MO1024279,0,0,1.7,4.8566666,0,4.8566666,4.8566666,0,6.5566664
MO1024281,0,0,5.9200001,0,0,0,0,0,5.9200001
MO1024282,0,0,8.5,1.04,0,1.99,1.04,0,10.49
MO1024309,0,0,0,28.9,0,28.9,28.9,0,28.9
MO1024310,0,0,0,0,1.01,5.6166668,0,1.01,5.6166668
MO1024311,0,0,0,0,.34999999,.41666666,0,.34999999,.41666666
MO1024324,0,0,0,0,0,1.1799999,0,0,1.1799999
MO1024326,39.18,0,39.18,75.775002,0,75.775002,114.955,0,114.955
MO1024428,26.6,0,26.6,0,0,49.182144,26.6,0,75.782143
MO1024476,16.58,0,16.58,9.415,0,9.415,25.994999,0,25.994999
MO1024477,22.950001,0,22.950001,29.565001,0,29.565001,52.514999,0,52.514999
MO1024478,0,0,22,13.566667,13.4,13.65,13.566667,13.4,35.650002
MO1024479,15.8,0,15.8,7.8899999,0,7.8899999,23.690001,0,23.690001
MO1024480,0,0,0,0,0,18.59,0,0,18.59
MO1024481,25.4,0,25.4,0,23.060001,63.928333,25.4,23.060001,89.328331
MO1024482,43.357143,0,43.357143,97.933334,0,97.933334,141.29048,0,141.29048
MO1024483,3.6500001,0,3.6500001,6.6799998,0,6.6799998,10.33,0,10.33
MO1024510,33.924999,0,33.924999,73.599998,0,73.599998,107.52499,0,107.52499
MO1024511,23.5,23.360001,23.5,54.650002,52,57.299999,78.150002,75.360001,80.800003
MO1024512,23.450001,0,23.450001,39.049999,0,39.049999,62.5,0,62.5
MO1024646,41.84,0,41.84,16.610001,0,16.610001,58.450001,0,58.450001
MO1031250,11.4,0,11.4,13.5,0,13.5,24.9,0,24.9
MO1031517,0,0,0,0,0,0,0,0,0
MO1031536,0,0,0,0,0,0,0,0,0
MO1031542,0,0,0,0,0,0,0,0,0
MO1031547,0,0,0,0,0,0,0,0,0
MO1036130,44.173912,53.635715,29.455555,98.976875,116.36,70.004997,143.15079,169.99571,99.460556
MO1036167,0,0,0,0,0,0,0,0,0
MO1036172,14.28,0,14.28,8.9250002,0,8.9250002,23.205,0,23.205
MO1041186,0,0,0,0,0,.67000002,0,0,.67000002
MO1041187,0,0,0,4.835,0,4.835,4.835,0,4.835
MO1041228,0,0,0,0,0,0,0,0,0
MO1041289,0,0,0,0,0,3.26,0,0,3.26
MO1041483,0,0,0,0,0,0,0,0,0
MO1041486,0,0,0,0,0,0,0,0,0
MO1041487,0,0,0,0,0,0,0,0,0
MO1041587,0,0,0,0,0,0,0,0,0
MO1041618,0,0,0,0,0,8.2600002,0,0,8.2600002
MO1041650,0,0,0,0,0,73.400002,0,0,73.400002
MO1041653,0,0,1.1799999,0,0,0,0,0,1.1799999
MO1041654,0,0,0,0,0,0,0,0,0
MO1048070,0,.68000001,0,0,1.6566668,0,0,2.3366668,0
MO1048081,3.2,0,3.2,6.8850002,0,6.8850002,10.085,0,10.085
MO1048442,9.3400002,0,9.3400002,5.9840002,0,5.9840002,15.324,0,15.324
MO1061484,0,0,0,8.3599997,0,8.3599997,8.3599997,0,8.3599997
MO1070518,0,21.299999,0,0,0,0,0,21.299999,0
MO1070639,44.569229,55.924999,26.4,81.712502,94.769997,59.950001,126.28173,150.69499,86.349998
MO1071079,0,0,0,5.3400002,0,5.3400002,5.3400002,0,5.3400002
MO1079501,0,0,0,0,1.3099999,1.29,0,1.3099999,1.29
MO1079505,0,0,4.02,0,1.54,23.58,0,1.54,27.6
MO1182628,0,0,0,0,.79000002,0,0,.79000002,0
MO1262830,0,0,0,6.6199999,0,6.6199999,6.6199999,0,6.6199999
MO1272803,0,0,0,0,0,0,0,0,0
MO2010028,0,0,18.200001,0,0,0,0,0,18.200001
MO2010029,21.15,0,21.15,86.300003,0,86.300003,107.45,0,107.45
MO2010035,0,0,5.3099999,64.199997,0,64.199997,64.199997,0,69.509995
MO2010082,19.633333,0,19.633333,43.279999,0,43.279999,62.91333,0,62.91333
MO2010091,0,0,0,8.8850002,9.8900003,7.8800001,8.8850002,9.8900003,7.8800001
