pwsid,detection_share
AK2120606,.011235955
AK2120729,.067816094
AK2120737,.027322404
AK2120761,0
AK2120779,0
AK2121026,.035339661
AK2121034,0
AK2121076,.0090909088
AK2121093,.040983606
AK2121123,.2013889
AK2121131,.028985508
AK2121406,0
AK2121409,0
AK2121431,0
AK2121438,0
AK2121463,0
AK2121467,.12631579
AK2121474,.013157895
AK2121476,.030303031
AK2121479,.032407407
AK2121485,.0049999999
AK2121489,0
AK2121501,0
AK2121502,0
AK2121510,0
AK2121514,.022222223
AK2121516,0
AK2121522,.079999998
AK2121523,0
AK2121525,0
AK2130017,.038605444
AK2130067,0
AK2130075,.00036927621
AK2130083,.0057803467
AK2130122,.013888889
AK2130148,.0016954131
AK2130156,.023721803
AK2130164,.022727273
AK2130172,.01344086
AK2130198,0
AK2130229,.5
AK2130237,0
AK2130342,.014705882
AK2130423,.083333336
AK2130596,0
AK2130659,.023809524
AK2130705,.083333336
AK2131119,.11956522
AK2131123,0
AK2131148,0
AK2133333,.27118644
AK2210299,0
AK2210312,.01991228
AK2210320,0
AK2210338,.34469879
AK2210346,0
AK2210354,.071428575
AK2210396,0
AK2210401,.037370861
AK2210419,.0028735632
AK2210435,0
AK2210451,.0091324197
AK2210485,0
AK2210540,0
AK2210566,0
AK2210574,0
AK2210605,0
AK2210639,.0093896715
AK2210689,0
AK2210697,0
AK2210702,.058459595
AK2210778,.02214334
AK2210786,0
AK2210794,0
AK2210891,.031914894
AK2210906,.072261907
AK2211025,0
AK2211033,0
AK2211059,0
AK2211075,0
AK2211091,0
AK2211114,0
AK2211122,.008547009
AK2211130,0
AK2211164,.0064102565
AK2211198,.0064935065
AK2211229,.013888889
AK2211279,.054166667
AK2211326,.012345679
AK2211376,0
AK2211423,.0088031543
AK2211431,0
AK2211473,0
AK2211481,.0125
AK2211562,0
AK2211619,0
AK2211643,0
AK2211669,.012820513
AK2211677,0
AK2211708,.0087719299
AK2211724,0
AK2211813,0
AK2211821,0
AK2211897,.012048192
AK2211936,.011904762
AK2211952,.0094339624
AK2212005,0
AK2212021,.00032020494
AK2212039,.011378002
AK2212128,.0081967209
AK2212152,.018867925
AK2212267,0
AK2212461,.0092592593
AK2212500,0
AK2212518,0
AK2212623,0
AK2212762,0
AK2212819,.014705882
AK2212851,.023541115
AK2212916,.0039682542
AK2212924,.076456457
AK2212974,.075757578
AK2213019,0
AK2213140,.017241379
AK2213239,.011904762
AK2213297,.0062500001
AK2213336,.18678679
AK2213352,.12444445
AK2213409,.012195121
AK2213425,0
AK2213441,.05882353
AK2213491,.03852459
AK2213506,0
AK2213514,0
AK2213530,.028985508
AK2213556,.0045248871
AK2213564,0
AK2213598,.013888889
AK2213603,0
AK2213718,0
AK2213726,.014705882
AK2213768,.0094339624
AK2213792,0
AK2213904,.015625
AK2213946,.041274052
AK2213954,.0059523811
AK2213962,.010416667
AK2214007,0
