"","PWSID","VIOLATION_CATEGORY_CODE","VIOLATION_STATUS","diff_days","total_violations"
"25131","CO0202666","TT","Resolved",1963.95833333333,187
"25132","CO0342500","TT","Resolved",30,8
"25133","CO0353700","TT","Resolved",692,4
"25134","CT0189793","TT","Resolved",1342,10
"25135","CT0300214","TT","Resolved",1807,4
"25136","CT0860414","TT","Resolved",1359,4
"25137","DE0000818","TT","Resolved",2632,17
"25138","FL2541008","MCL","Resolved",29,1
"25139","FL3494418","MCL","Resolved",90,6
"25140","FL4504664","MCL","Resolved",91,4
"25141","FL6291581","MCL","Resolved",91.0416666666667,21
"25142","GA1070003","TT","Unaddressed",130.958333333333,2
"25143","GA1190048","MCL","Archived",91,3
"25144","HI0000231","MCL","Resolved",91,6
"25145","HI0000371","MCL","Resolved",30,6
"25146","ID2250065","TT","Resolved",2155,4
"25147","ID5070064","TT","Resolved",1131,3
"25148","IL0555250","TT","Resolved",1558,4
"25149","IL3002170","MCL","Resolved",30,2
"25150","IL3006940","TT","Unaddressed",736,6
"25151","IL3106054","TT","Resolved",736,5
"25152","IL3111807","MCL","Archived",30,1
"25153","IL3149229","TT","Resolved",736,10
"25154","IN2020957","TT","Resolved",1084,4
"25155","IN2060808","MCL","Archived",91,3
"25156","IN2200596","MCL","Resolved",30,4
"25157","IN2430288","TT","Resolved",1050,6
"25158","IN2520139","MCL","Resolved",29.0416666666667,4
"25159","IN2540004","MCL","Resolved",30,4
"25160","IN2570047","MCL","Resolved",29.0416666666667,5
"25161","IN2760917","TT","Resolved",1550,6
"25162","IN5232020","MCL","Resolved",28,5
"25163","IN5277010","MCL","Resolved",30,4
"25164","IN5284011","MCL","Resolved",30,4
"25165","KS2006108","MCL","Resolved",91.0416666666667,17
"25166","KS2017701","MCL","Resolved",88.9583333333333,4
"25167","KS2106106","MCL","Resolved",30,5
"25168","KY0870290","TT","Resolved",2166,12
"25169","LA1039018","TT","Resolved",1863,8
"25170","MA1143010","MCL","Resolved",30,2
"25171","MA2286020","MCL","Resolved",30,2
"25172","MA4318118","MCL","Archived",30,1
"25173","MD0070020","TT","Resolved",29.0416666666667,4
"25174","MD1031362","TT","Resolved",3019,1
"25175","MD1120012","MCL","Resolved",30,3
"25176","MD1210018","TT","Resolved",30,10
"25177","ME0003793","TT","Unaddressed",401,2
"25178","ME0007963","MCL","Archived",90,8
"25179","ME0090690","MCL","Resolved",91.0416666666667,26
"25180","ME0091010","TT","Resolved",1893,11
"25181","ME0094996","TT","Archived",2227,2
"25182","ME0193917","TT","Resolved",2258,4
"25183","MI0006627","MCL","Resolved",30,4
"25184","MI0007235","MCL","Resolved",29,4
"25185","MI0040472","MCL","Resolved",30,5
"25186","MI0040673","TT","Resolved",1251.95833333333,78
"25187","MI2010261","MCL","Resolved",30,1
"25188","MI2015181","MCL","Resolved",29,4
"25189","MI2054917","MCL","Resolved",30,4
"25190","MI2078844","MCL","Resolved",29,5
"25191","MI2140563","MCL","Resolved",30,5
"25192","MI2251063","MCL","Resolved",30,8
"25193","MN1560028","MCL","Archived",88.9583333333333,3
"25194","MN5820396","MCL","Resolved",28,6
"25195","MN5850095","MCL","Resolved",29.9583333333333,6
"25196","MO1010371","MCL","Resolved",90,4
"25197","MO2010513","TT","Archived",90,3
"25198","MO5190993","MCL","Resolved",30,7
"25199","MO5283214","MCL","Resolved",29,7
"25200","MS0240213","TT","Resolved",2732.95833333333,1
"25201","MS0320013","TT","Addressed",960.958333333333,4
"25202","MT0000133","MCL","Resolved",30,5
"25203","MT0000460","MCL","Resolved",30,5
"25204","MT0000493","TT","Resolved",2060.95833333333,3
"25205","MT0003630","TT","Addressed",1771,9
"25206","NC0105436","TT","Resolved",1557,5
"25207","NC0201589","MCL","Resolved",89.9583333333333,10
"25208","NC0368443","MCL","Resolved",91.0416666666667,10
"25209","NC2080020","MCL","Resolved",91,10
"25210","NC3005016","TT","Resolved",2653,24
"25211","NC3095025","TT","Resolved",2287,10
"25212","NE3115907","MCL","Resolved",91,12
"25213","NH2217130","TT","Resolved",1162,4
"25214","NH2467030","TT","Resolved",2784.95833333333,9
"25215","NJ1601001","MCL","Archived",91,3
"25216","NJ1710339","MCL","Resolved",29.9583333333333,4
"25217","NJ1906302","MCL","Resolved",30,6
"25218","NJ2011316","TT","Resolved",623,16
"25219","NM3500319","TT","Resolved",2288,4
"25220","NM3524530","TT","Resolved",3096.95833333333,29
"25221","NM3557713","TT","Resolved",2893,2
"25222","NM3581723","TT","Resolved",3106.95833333333,8
"25223","NY1312479","TT","Resolved",680,4
"25224","NY2521882","MCL","Resolved",30,6
"25225","NY2613226","MCL","Archived",91,5
"25226","OH2564212","TT","Resolved",2499,9
"25227","OH2834612","MCL","Archived",89.9583333333333,6
"25228","OH2864312","MCL","Archived",30,2
"25229","OH3233412","TT","Resolved",1765,3
"25230","OH7665412","MCL","Archived",90,2
"25231","OK1021313","MCL","Resolved",91.0416666666667,15
"25232","OK2003627","MCL","Resolved",30,5
