pwsid,total_samples,detection_share,pfas_count,concentration_sum,detection,max
CA0410005,322,.3012422360248447,6,453.1999998092651,1,230
CA0410006,24,0,0,0,0,0
CA0410007,24,0,0,0,0,0
CA0410008,16,0,0,0,0,0
CA0410011,48,0,0,0,0,0
CA0510002,53,0,0,0,0,0
CA0510006,24,0,0,0,0,0
CA0510009,29,0,0,0,0,0
CA0510016,24,0,0,0,0,0
CA0707625,100,.5,6,590.6999998092651,1,270
CA0710001,24,0,0,0,0,0
CA0710002,36,0,0,0,0,0
CA0710003,60,0,0,0,0,0
CA0710004,120,0,0,0,0,0
CA0710006,24,0,0,0,0,0
CA0710007,28,0,0,0,0,0
CA0710008,24,0,0,0,0,0
CA0710009,57,0,0,0,0,0
CA0800552,36,.0555555555555556,2,3.400000095367432,1,1.7
CA0800800,36,.3333333333333333,6,64.60000014305115,1,27
CA0810001,12,0,0,0,0,0
CA0900659,29,.0689655172413793,2,.0079999999143183,1,.0049999999
CA0910001,182,.0054945054945055,1,.0031999999191612,1,.0031999999
CA0910002,180,0,0,0,0,0
CA0910003,29,0,0,0,0,0
CA1000447,360,.0111111111111111,3,38.40000009536743,1,21
CA1010001,617,.0794165316045381,7,99.49999976158142,1,36
CA1010003,1166,.0454545454545455,7,43.5999995470047,1,14
CA1010004,18,0,0,0,0,0
CA1010005,24,0,0,0,0,0
CA1010007,6936,.0354671280276817,11,856.4783000941388,1,510
CA1010018,72,0,0,0,0,0
CA1010019,287,0,0,0,0,0
CA1010021,12,0,0,0,0,0
CA1010023,29,0,0,0,0,0
CA1010024,324,0,0,0,0,0
CA1010025,24,0,0,0,0,0
CA1010027,60,0,0,0,0,0
CA1010029,96,0,0,0,0,0
CA1010034,62,0,0,0,0,0
CA1010044,29,0,0,0,0,0
CA1010339,65,0,0,0,0,0
CA1110002,90,0,0,0,0,0
CA1110003,162,.0061728395061728,1,4.800000190734863,1,4.8000002
CA1210001,18,0,0,0,0,0
CA1210004,12,0,0,0,0,0
CA1210006,41,0,0,0,0,0
CA1210009,24,0,0,0,0,0
CA1210013,12,0,0,0,0,0
CA1210016,12,0,0,0,0,0
CA1210017,12,0,0,0,0,0
CA1300554,29,0,0,0,0,0
CA1310001,18,0,0,0,0,0
CA1310002,18,0,0,0,0,0
CA1310004,24,0,0,0,0,0
CA1310006,24,0,0,0,0,0
CA1310011,136,.0294117647058824,2,5.200000047683716,1,3.2
CA1410001,33,0,0,0,0,0
CA1500050,12,0,0,0,0,0
CA1500251,54,.1111111111111111,3,12.99999976158142,1,5.0999999
CA1500296,12,0,0,0,0,0
CA1500333,36,0,0,0,0,0
CA1500374,36,0,0,0,0,0
CA1500407,72,0,0,0,0,0
